name,description,tags,node_type,location,centroid
Amt für Immissionsschutz und Betriebe,,,['POI'],POINT(10.004024 53.497556),
Behörde für Stadtentwicklung und Wohnen,,,['POI'],POINT(10.004187 53.497465),
Agentur für Arbeit Altona,,,['POI'],POINT(9.943907 53.565788),
Behörde für Justiz und Verbraucherschutz,,,['POI'],POINT(9.98517 53.556559),
Fachschule für Heilerzieher der evang. Stiftung Alsterdorf,,,['POI'],POINT(10.020137 53.613089),
Süllberg Blankenese,,,['POI'],POINT(9.800281 53.559521),
Trockendocks,,,['POI'],POINT(9.963315 53.541777),
Viewpoint HafenCity,,,['POI'],POINT(9.994397 53.539491),
Gewerbeförderungsanstalt d. Handwerkskammer Hamburg,,,['POI'],POINT(9.938505 53.554931),
Heinrich-Hertz-Straße (Bildungseinrichtung),,,['POI'],POINT(10.020199 53.572421),
Helbingtwiete (Bildungseinrichtung),,,['POI'],POINT(10.096121 53.587141),
Jugendparkweg (Bildungseinrichtung),,,['POI'],POINT(9.993055 53.645709),
Jugendwerkstatt Rosenallee,,,['POI'],POINT(10.013918 53.549049),
Marmstorfer Weg (Bildungseinrichtung),,,['POI'],POINT(9.970242 53.449539),
"Praxisausb.stätte I, Staatl. Fachschule f. Sozialpäd. Wagnerstraße",,,['POI'],POINT(10.032401 53.567644),
"Praxisausb.stätte II, Staatl. Fachschule f. Sozialpäd. Wagnerstraße",,,['POI'],POINT(10.061227 53.564462),
Praxisausb.stätte II. Staatl. Kinderpflegeschule Isestraße,,,['POI'],POINT(9.983513 53.586602),
Justizprüfungsamt bei dem Hanseatischen Oberlandesgericht,,,['POI'],POINT(9.98535 53.557151),
Praxisausb.stätte Staatl. Schule Ernährung-u-Hauswirtsch. Harburg,,,['POI'],POINT(9.963936 53.466222),
"Praxisausb.stätte, Staatl. Fachschule f. Sozialpäd. Altona",,,['POI'],POINT(9.955842 53.5542),
Rackow-Schule,,,['POI'],POINT(10.024825 53.548345),
Agentur für Arbeit Eimsbüttel,,,['POI'],POINT(9.957572 53.569363),
Alsterpavillon,,,['POI'],POINT(9.992069 53.554103),
Alsterschlösschen Burg Hennerberg,,,['POI'],POINT(10.0873 53.65817),
Bäckerbreitergang,,,['POI'],POINT(9.982146 53.553691),
Chilehaus,,,['POI'],POINT(10.002539 53.548256),
Cityhall Hamburg,,,['POI'],POINT(9.992736 53.550386),
Cremon Historische Bauten,,,['POI'],POINT(9.98871 53.545945),
Cruise Center Altona,,,['POI'],POINT(9.940196 53.543434),
Cruise Center Baakenhöft,,,['POI'],POINT(10.005983 53.537633),
Cruise Center HafenCity,,,['POI'],POINT(9.996748 53.538753),
Cruise Center Steinwerder,,,['POI'],POINT(9.961316 53.529447),
Deichstraße,,,['POI'],POINT(9.9872 53.545895),
Estesperrwerk,,,['POI'],POINT(9.79056 53.535146),
Fernsehturm,,,['POI'],POINT(9.975936 53.563149),
Fischauktionshalle,,,['POI'],POINT(9.951648 53.544835),
Fleethof,,,['POI'],POINT(9.985726 53.549959),
Hammaburg,,,['POI'],POINT(9.998057 53.550171),
Hauptkirche St. Petri,,,['POI'],POINT(9.996881 53.55019),
Krameramtswohnungen,,,['POI'],POINT(9.980398 53.547927),
Köhlbrandbrücke,,,['POI'],POINT(9.933134 53.522086),
Reimerstwiete,,,['POI'],POINT(9.991389 53.545662),
Speicherstadt,,,['POI'],POINT(10.000529 53.546215),
Agentur für Arbeit Hamburg-Mitte,,,['POI'],POINT(10.016151 53.550288),
Bismarck-Denkmal,,,['POI'],POINT(9.972206 53.548623),
Brahms-Denkmal,,,['POI'],POINT(9.976685 53.551148),
Hans-Albers-Denkmal,,,['POI'],POINT(9.96089 53.548607),
Heidi-Kabel-Denkmal,,,['POI'],POINT(10.007196 53.554399),
St.Nikolai-Kirche Mahnmal,,,['POI'],POINT(9.990825 53.547356),
Störtebeker Denkmal,,,['POI'],POINT(9.998899 53.542994),
Agentur für Arbeit Hamburg-Nord,,,['POI'],POINT(10.012973 53.641382),
Alter Elbtunnel,,,['POI'],POINT(9.966787 53.545864),
Finkenwerder Aue-Insel,,,['POI'],POINT(9.886259 53.530863),
Hansahafen,,,['POI'],POINT(10.009276 53.523912),
Lotsenhöft,,,['POI'],POINT(9.879178 53.539891),
Rickmer Rickmers,,,['POI'],POINT(9.973003 53.544528),
Schlepperbrücke,,,['POI'],POINT(9.920366 53.543058),
St. Pauli Landungsbrücken,,,['POI'],POINT(9.967268 53.545096),
Terminal Altenwerder,,,['POI'],POINT(9.928369 53.504126),
Traditionsschiffhafen,,,['POI'],POINT(9.992567 53.542526),
Überseezentrum,,,['POI'],POINT(10.018375 53.530466),
Agentur für Arbeit Harburg,,,['POI'],POINT(9.978567 53.460712),
Alsterschiff,,,['POI'],POINT(9.994318 53.553491),
Bleichenbrücke,,,['POI'],POINT(9.988779 53.551479),
IGS Zentrum Internationale Gartenschau Hamburg 2013,,,['POI'],POINT(9.999802 53.496819),
Literaturhaus,,,['POI'],POINT(10.016636 53.568012),
Nicolaifleet und Cremon,,,['POI'],POINT(9.98848 53.545776),
Ringelnatztreppe,,,['POI'],POINT(9.890016 53.545283),
Spielbank Hamburg,,,['POI'],POINT(9.990283 53.558386),
Trostbrücke,,,['POI'],POINT(9.992154 53.548046),
Agentur für Arbeit Wandsbek,,,['POI'],POINT(10.060656 53.567567),
team.arbeit.hamburg - Job-Center Altona,,,['POI'],POINT(9.907828 53.555644),
team.arbeit.hamburg - Job-Center Barmbek,,,['POI'],POINT(10.030778 53.571647),
team.arbeit.hamburg - Job-Center Bergedorf,,,['POI'],POINT(10.208387 53.491935),
team.arbeit.hamburg - Job-Center Billstedt,,,['POI'],POINT(10.101053 53.539886),
team.arbeit.hamburg - Job-Center Bramfeld,,,['POI'],POINT(10.053515 53.589977),
Altenpflegeschule & Schule für Gesundheits-und Pflegeassistenz der Fortbildungsakademie (FAW) der Wirtschaft gGmbH,,,['POI'],POINT(10.02396 53.581248),
Altenpflegeschule Hamburg-Alstertal,,,['POI'],POINT(10.076198 53.650525),
H6 - Staatl. Handelsschule,,,['POI'],POINT(9.934273 53.546428),
Am Lämmermarkt H2 - Staatl. Handelsschule mit Wirtschaftsgymnasium,,,['POI'],POINT(10.023696 53.557817),
Anckelmannstraße H1 - Staatl. Handelsschule,,,['POI'],POINT(10.032278 53.553295),
Ausschläger Weg H12 - Staatl. Handelsschule,,,['POI'],POINT(10.034046 53.553424),
Bautechnik G19 - Staatl. Gewerbeschule,,,['POI'],POINT(10.182832 53.495156),
Bergedorf H17 - Staatl. Handelsschule,,,['POI'],POINT(10.217659 53.486881),
Berliner Tor H18 - Staatl. Handelsschule,,,['POI'],POINT(10.02366 53.555103),
Berufliche Medienschule Hamburg-Wandsbek - H8,,,['POI'],POINT(10.048023 53.572513),
Berufliche Schule Bramfelder See - H20,,,['POI'],POINT(10.057561 53.613474),
Berufliche Schule Burgstraße - W8,,,['POI'],POINT(10.039418 53.557717),
Berufliche Schule Farmsen - G16,,,['POI'],POINT(10.120312 53.614484),
Berufliche Schule Recycling- und Umwelttechnik - G8,,,['POI'],POINT(9.992354 53.583653),
Berufliche Schule Steinhauerdamm - G5,,,['POI'],POINT(10.025587 53.558034),
Berufliche Schule für Sozialpädagogik - Anna-Warburg-Schule - W3,,,['POI'],POINT(9.950652 53.61748),
Berufsförderungswerk Hamburg GmbH,,,['POI'],POINT(10.115837 53.612127),
Caritas Berufsschule für Pflege,,,['POI'],POINT(9.937827 53.572017),
"Chemie, Pharmazie, Agrarwirtschaft G13 - Staatl. Gewerbeschule",,,['POI'],POINT(10.182365 53.495718),
City Nord H7 - Staatl. Handelsschule mit Wirtschaftsgymnasium,,,['POI'],POINT(10.027809 53.608558),
Eidelstedt Berufsbildungswerk G12 - Staatl.Berufsschule,,,['POI'],POINT(9.906098 53.60035),
Energietechnik G10 - Staatl. Gewerbeschule,,,['POI'],POINT(9.934273 53.546428),
Erika Klütz Schule für Theatertanz und Tanzpädagogik,,,['POI'],POINT(9.919548 53.5617),
Ernährung und Hauswirtschaft G3 - Staatl. Gewerbeschule,,,['POI'],POINT(10.035212 53.554213),
Evangelische Berufsfachschule für Sozialpädagogische Assistenz Alsterdorf,,,['POI'],POINT(10.020137 53.613089),
Evangelische Berufsschule für Altenpflege des Rauhen Hauses,,,['POI'],POINT(10.072326 53.553356),
Evangelische Fachschule für Sozialpädagogik - Alten Eichen,,,['POI'],POINT(9.931202 53.598216),
Fachschule für Heilerziehung der Evangelischen Stiftung Alsterdorf,,,['POI'],POINT(10.020137 53.613089),
Fertigungs- und Flugzeugtechnik Ernst Mittelbach G15 - Staatl. Gewerbeschule,,,['POI'],POINT(10.035524 53.554004),
Gastronomie und Ernährung G11 - Staatl. Gewerbeschule,,,['POI'],POINT(10.027759 53.558591),
Gesundheitspflege W1 - Staatl. Schule,,,['POI'],POINT(10.000233 53.499781),
Gesundheitspflege W4 - Staatl. Schule,,,['POI'],POINT(10.003194 53.498803),
Grone Altenpflegeschule Hamburg,,,['POI'],POINT(10.022629 53.546765),
Hamburger Berufsfachschule für Kosmetik GmbH Lore Krüger,,,['POI'],POINT(9.969885 53.584314),
Handelsschule Weber,,,['POI'],POINT(9.985989 53.463939),
Handelsschule und höhere Handelsschule Brecht,,,['POI'],POINT(10.005852 53.555641),
Harburg H10 - Staatl. Handelsschule mit Wirtschaftsgymnasium,,,['POI'],POINT(9.965779 53.454508),
Haus- und Krankenhausunterricht Hamburg,,,['POI'],POINT(10.045626 53.57629),
Holstenwall H14 - Staatl. Handelsschule,,,['POI'],POINT(9.975163 53.551241),
Holzdamm H11 - Staatl. Handelsschule,,,['POI'],POINT(10.004613 53.556846),
"Holztechnik, Farbtechnik, Raumgestaltung, Textil u. Bekleidung G6 - Staatl. Gewerbeschule",,,['POI'],POINT(10.034515 53.573232),
"Informations- u. Elektrotechnik, Chemie- u. Automatisierungst. G 18 - Staatl. Gewerbeschule",,,['POI'],POINT(10.000464 53.499985),
Installationstechnik G2 - Staatl. Gewerbeschule,,,['POI'],POINT(9.974729 53.569089),
Kellinghusenstraße H13 - Staatl. Handelsschule,,,['POI'],POINT(9.991707 53.590191),
Kieler Straße H19 - Staatl. Handelsschule mit Wirtschaftsgymnasium,,,['POI'],POINT(9.945253 53.565211),
Kraftfahrzeugtechnik G9 - Staatl. Gewerbeschule,,,['POI'],POINT(10.046929 53.554507),
Lola Rogge Schule,,,['POI'],POINT(10.036127 53.563236),
Metalltechnik G17 - Staatl. Gewerbeschule mit Techn. Gymnasium,,,['POI'],POINT(10.00071 53.50019),
Schlankreye H3 - Staatl. Handelsschule mit Wirtschaftsgymnasium,,,['POI'],POINT(9.970753 53.572788),
School of Life Science (Berufsfachschule für biologisch technische Assistenz),,,['POI'],POINT(9.932284 53.598639),
Schule für Gesundheitsberufe (SfG) im HSB e.V.,,,['POI'],POINT(10.021945 53.614745),
Schulungszentrum für Altenpflege,,,['POI'],POINT(10.073062 53.574654),
Sozialpädagogik Harburg W5 - Staatl. Schule,,,['POI'],POINT(9.963918 53.465404),
