name,location,node_type
Heinrich-Hertz-Turm,POINT(9.976376 53.564601),['Station']
U S Jungfernstieg,POINT(9.992846 53.553135),['Station']
Universität/Staatsbibliothek,POINT(9.984176 53.564429),['Station']
Bf. Dammtor,POINT(9.9903 53.561045),['Station']
Fontenay,POINT(9.994508 53.564811),['Station']
Böttgerstraße,POINT(9.995527 53.568361),['Station']
Alsterchaussee,POINT(9.994015 53.572749),['Station']
Magellan-Terrassen,POINT(9.993321 53.542492),['Station']
U Hallerstraße,POINT(9.988655 53.572695),['Station']
Bezirksamt Eimsbüttel,POINT(9.978518 53.572347),['Station']
U Hoheluftbrücke,POINT(9.97621 53.578323),['Station']
U Gänsemarkt (Valentinskamp),POINT(9.985829 53.555682),['Station']
U Meßberg,POINT(10.001672 53.547356),['Station']
Kunsthalle,POINT(10.000646 53.555631),['Station']
Oberstraße,POINT(9.988952 53.577643),['Station']
Grindelhof,POINT(9.980932 53.56708),['Station']
Bundesstraße,POINT(9.974068 53.569212),['Station']
Bundesstraße/Rentzelstraße,POINT(9.979446 53.566158),['Station']
Dragonerstall,POINT(9.982055 53.555632),['Station']
Paulinenstraße,POINT(9.964641 53.554965),['Station']
Am Sandtorkai,POINT(9.991707 53.543153),['Station']
U Baumwall,POINT(9.981311 53.544344),['Station']
Marco-Polo-Terrassen,POINT(9.99371 53.540413),['Station']
Rathausmarkt (Petrikirche),POINT(9.996025 53.550359),['Station']
Auf dem Sande (Speicherstadt),POINT(9.989884 53.543878),['Station']
Am Sandtorpark (Überseequartier),POINT(9.996338 53.541838),['Station']
Bei St. Annen,POINT(9.997209 53.545533),['Station']
Hamburg Messe (Eingang Mitte),POINT(9.975894 53.562008),['Station']
Domstraße,POINT(9.994587 53.548223),['Station']
U Überseequartier,POINT(9.997006 53.540763),['Station']
U HafenCity Universität,POINT(10.004773 53.540689),['Station']
Busch (Süd),POINT(10.454082 53.650214),['Station']
Am Kaiserkai (Elbphilharmonie),POINT(9.985573 53.542727),['Station']
Koreastraße,POINT(10.002155 53.543533),['Station']
Shanghaiallee,POINT(10.003921 53.54102),['Station']
Osakaallee (Überseequartier),POINT(9.998578 53.542799),['Station']
Singapurstraße,POINT(9.996761 53.543794),['Station']
Baakenhöft,POINT(10.008563 53.538312),['Station']
U S Elbbrücken,POINT(10.024164 53.53534),['Station']
U S Elbbrücken (Baakenwerder Straße),POINT(10.02243 53.536622),['Station']
Ericusspitze,POINT(10.003196 53.546058),['Station']
Lola-Rogge-Platz,POINT(10.013298 53.537598),['Station']
Gerda-Gmelin-Platz,POINT(10.014301 53.5398),['Station']
Lademannbogen 51,POINT(10.030937 53.643295),['Station']
Gretchen-Wohlwill-Platz,POINT(10.017392 53.536611),['Station']
Rambachstraße,POINT(9.97602 53.544558),['Station']
Hohenesch,POINT(9.928601 53.554703),['Station']
Zeisehallen,POINT(9.927452 53.554577),['Station']
Lisbeth-Bruhn-Straße,POINT(10.172932 53.485342),['Station']
Victoriaallee,POINT(10.192525 53.609554),['Station']
Lily-Braun-Straße,POINT(10.173822 53.487041),['Station']
Speersort,POINT(9.996624 53.549527),['Station']
Zoologisches Museum,POINT(9.977594 53.567008),['Station']
Johnsallee,POINT(9.988789 53.566135),['Station']
Vorstadtschule,POINT(10.789872 53.700585),['Station']
