name,description,tags,node_type,location,centroid
Jugendclub Heimfeld,,"['community_centre', 'AWO Landesverband Hamburg e.V.', 'public', 'AWO Jugendclub Heimfeld']",['POI'],POINT(9.956510900962325 53.46846007447076),
Abenteuerspielplatz am Brunnenhof e.V.,,"['social_facility', 'civic']",['POI'],POINT(9.958813577889725 53.554096777534554),
Rettungswache Millerntor,Außenstelle der Feuer- und Rettungswache Innenstadt der Feuerwehr Hamburg.,"['Feuerwehr Hamburg', 'civic']",['POI'],POINT(9.971152397358274 53.55154085083381),
Kindertreff Heimfeld,,"['community_centre', 'BI Beruf und Integration Elbinseln gGmbH', 'civic']",['POI'],POINT(9.961032417760581 53.46763957186314),
Hafenamt Süd,,['civic'],['POI'],POINT(9.984983833154688 53.47308499617683),
Haus der Jugend Steinikestraße,offene Kinder- und Jugendarbeit,"['community_centre', 'youth_centre', 'Bezirksamt Harburg', 'civic']",['POI'],POINT(9.973881925611826 53.45529194626362),
Agentur für Arbeit,,"['employment_agency', 'public']",['POI'],POINT(9.9792704726871 53.46057846200804),
Schwanenquartier,,['civic'],['POI'],POINT(9.987032926333468 53.59986225446847),
Vereinshaus Gartenfreunde Püttkuhl e.V. 210,,"['community_centre', 'club_home', 'civic']",['POI'],POINT(9.865402300000001 53.56900175),
Schulungszentrum Deichverteidigung,ehem. Hafenamt 3,"['LSBG', 'civic', 'Ensembleteil']",['POI'],POINT(10.026079492966264 53.540246749061104),
Stadtteilhaus Neuwiedenthal,,"['Bezirksamt Harburg', 'civic']",['POI'],POINT(9.877457874090581 53.47925037388235),
Bauspielplatz und Spielhaus Eppendorfer Park,,"['community_centre', 'youth_centre', 'Bezirksamt Hamburg-Nord', 'civic', 'public']",['POI'],POINT(9.981581819228403 53.59016276572776),
Technisches Rathaus - Bezirksamt Hamburg-Nord,,"['government', 'public']",['POI'],POINT(9.985381464120382 53.59056735254483),
Rathaus,,"['government', 'townhall', 'public', 'Ensembleteil', 'attraction']",['POI'],POINT(9.992400088323125 53.55041280989229),
Haus der Familie St. Pauli,,"['community_centre', 'Verein für stadtteilbezogene milieunahe Erziehungshilfen e.V.', 'civic', 'ngo']",['POI'],POINT(9.96242186569669 53.557507857835716),
Hauptgebäude Altes Allgemeines Krankenhaus Altona,,['civic'],['POI'],POINT(9.946897018853416 53.55704396386598),
